,Date,Steps
0,2024-08-28,0
1,2024-08-29,0
2,2024-08-30,0
3,2024-08-31,0
4,2024-09-01,0
5,2024-09-02,0
6,2024-09-03,0
7,2024-09-04,0
8,2024-09-05,0
9,2024-09-06,0
10,2024-09-07,0
11,2024-09-08,0
12,2024-09-09,1535
13,2024-09-10,8145
14,2024-09-11,13476
15,2024-09-12,6492
16,2024-09-13,1980
17,2024-09-14,1171
18,2024-09-15,5282
19,2024-09-16,6687
20,2024-09-17,8342
21,2024-09-18,8541
22,2024-09-19,3940
23,2024-09-20,4873
24,2024-09-21,0
25,2024-09-22,0
26,2024-09-23,4338
27,2024-09-24,11566
28,2024-09-25,7888
29,2024-09-26,796
